date;Day;Month;Year;WeekNumber;DayOfWeek;DayOfYear;Sales
2013-02-24;24;2;2013;8;6;55;452726.126
2013-02-25;25;2;2013;9;0;56;307110.875999999
2013-02-26;26;2;2013;9;1;57;270425.007
2013-02-27;27;2;2013;9;2;58;288401.999
2013-02-28;28;2;2013;9;3;59;278116.292
2013-03-01;1;3;2013;9;4;60;378898.165
2013-03-02;2;3;2013;9;5;61;547857.205
2013-03-03;3;3;2013;9;6;62;559820.579999999
2013-03-04;4;3;2013;10;0;63;383647.679
2013-03-05;5;3;2013;10;1;64;332189.993000001
2013-03-06;6;3;2013;10;2;65;335726.581
2013-03-07;7;3;2013;10;3;66;293099.527
2013-03-08;8;3;2013;10;4;67;316600.68
2013-03-09;9;3;2013;10;5;68;453259.497
2013-03-10;10;3;2013;10;6;69;461859.756
2013-03-11;11;3;2013;11;0;70;318379.132999999
2013-03-12;12;3;2013;11;1;71;271823.378
2013-03-13;13;3;2013;11;2;72;287869.664
2013-03-14;14;3;2013;11;3;73;247541.42
2013-03-15;15;3;2013;11;4;74;315878.09
2013-03-16;16;3;2013;11;5;75;482233.434
2013-03-17;17;3;2013;11;6;76;513439.585
2013-03-18;18;3;2013;12;0;77;330283.803
2013-03-19;19;3;2013;12;1;78;294020.246
2013-03-20;20;3;2013;12;2;79;321207.007
2013-03-21;21;3;2013;12;3;80;269130.128
2013-03-22;22;3;2013;12;4;81;304100.454
2013-03-23;23;3;2013;12;5;82;453192.003
2013-03-24;24;3;2013;12;6;83;449794.637
2013-03-25;25;3;2013;13;0;84;317559.61
2013-03-26;26;3;2013;13;1;85;275818.236
2013-03-27;27;3;2013;13;2;86;313691.149
2013-03-28;28;3;2013;13;3;87;339293.269000001
2013-03-29;29;3;2013;13;4;88;345513.132
2013-03-30;30;3;2013;13;5;89;452661.355999999
2013-03-31;31;3;2013;13;6;90;462107.64
2013-04-01;1;4;2013;14;0;91;428816.448
2013-04-02;2;4;2013;14;1;92;377732.827999999
2013-04-03;3;4;2013;14;2;93;373731.076
2013-04-04;4;4;2013;14;3;94;308738.386
2013-04-05;5;4;2013;14;4;95;336394.781999999
2013-04-06;6;4;2013;14;5;96;509424.214000001
2013-04-07;7;4;2013;14;6;97;519048.377000001
2013-04-08;8;4;2013;15;0;98;346649.816
2013-04-09;9;4;2013;15;1;99;306335.801999999
2013-04-10;10;4;2013;15;2;100;312846.375
2013-04-11;11;4;2013;15;3;101;303222.413
2013-04-12;12;4;2013;15;4;102;314394.967
2013-04-13;13;4;2013;15;5;103;453442.497
2013-04-14;14;4;2013;15;6;104;478417.149
2013-04-15;15;4;2013;16;0;105;338712.458000001
2013-04-16;16;4;2013;16;1;106;333431.88
2013-04-17;17;4;2013;16;2;107;334990.519
2013-04-18;18;4;2013;16;3;108;281923.51
2013-04-19;19;4;2013;16;4;109;311588.705
2013-04-20;20;4;2013;16;5;110;459884.837999999
2013-04-21;21;4;2013;16;6;111;485721.032
2013-04-22;22;4;2013;17;0;112;328886.321
2013-04-23;23;4;2013;17;1;113;302097.833
2013-04-24;24;4;2013;17;2;114;310555.184999999
2013-04-25;25;4;2013;17;3;115;268790.619
2013-04-26;26;4;2013;17;4;116;304413.557
2013-04-27;27;4;2013;17;5;117;446665.338
2013-04-28;28;4;2013;17;6;118;477623.472999999
2013-04-29;29;4;2013;18;0;119;328795.874
2013-04-30;30;4;2013;18;1;120;310186.467
2013-05-01;1;5;2013;18;2;121;507974.637000001
2013-05-02;2;5;2013;18;3;122;348709.46
2013-05-03;3;5;2013;18;4;123;374290.251
2013-05-04;4;5;2013;18;5;124;520339.516
2013-05-05;5;5;2013;18;6;125;580268.551000001
2013-05-06;6;5;2013;19;0;126;369869.383
2013-05-07;7;5;2013;19;1;127;317292.964
2013-05-08;8;5;2013;19;2;128;332477.411
2013-05-09;9;5;2013;19;3;129;305868.056999999
2013-05-10;10;5;2013;19;4;130;335937.442
2013-05-11;11;5;2013;19;5;131;512090.581
2013-05-12;12;5;2013;19;6;132;387860.505
2013-05-13;13;5;2013;20;0;133;350598.062
2013-05-14;14;5;2013;20;1;134;308469.313
2013-05-15;15;5;2013;20;2;135;329113.56
2013-05-16;16;5;2013;20;3;136;307556.946999999
2013-05-17;17;5;2013;20;4;137;330004.242000001
2013-05-18;18;5;2013;20;5;138;480969.559
2013-05-19;19;5;2013;20;6;139;518153.554
2013-05-20;20;5;2013;21;0;140;341787.215
2013-05-21;21;5;2013;21;1;141;307178.399999999
2013-05-22;22;5;2013;21;2;142;301785.483
2013-05-23;23;5;2013;21;3;143;289261.058
2013-05-24;24;5;2013;21;4;144;398389.242
2013-05-25;25;5;2013;21;5;145;417930.142
2013-05-26;26;5;2013;21;6;146;450631.4
2013-05-27;27;5;2013;22;0;147;321630.831
2013-05-28;28;5;2013;22;1;148;307329.168
2013-05-29;29;5;2013;22;2;149;309332.381
2013-05-30;30;5;2013;22;3;150;304344.850000001
2013-05-31;31;5;2013;22;4;151;330257.842000001
2013-06-01;1;6;2013;22;5;152;566901.815
2013-06-02;2;6;2013;22;6;153;637698.494999998
2013-06-03;3;6;2013;23;0;154;426332.098
2013-06-04;4;6;2013;23;1;155;369705.16
2013-06-05;5;6;2013;23;2;156;361791.081000001
2013-06-06;6;6;2013;23;3;157;317495.766
2013-06-07;7;6;2013;23;4;158;357673.088
2013-06-08;8;6;2013;23;5;159;466292.699
2013-06-09;9;6;2013;23;6;160;526804.73
2013-06-10;10;6;2013;24;0;161;349754.292000001
2013-06-11;11;6;2013;24;1;162;283858.216
2013-06-12;12;6;2013;24;2;163;320173.578
2013-06-13;13;6;2013;24;3;164;282886.92
2013-06-14;14;6;2013;24;4;165;326956.742
2013-06-15;15;6;2013;24;5;166;505949.667000001
2013-06-16;16;6;2013;24;6;167;435894.083
2013-06-17;17;6;2013;25;0;168;370944.271000001
2013-06-18;18;6;2013;25;1;169;320885.339999999
2013-06-19;19;6;2013;25;2;170;319235.258
2013-06-20;20;6;2013;25;3;171;293877.944
2013-06-21;21;6;2013;25;4;172;319722.687
2013-06-22;22;6;2013;25;5;173;446347.312000001
2013-06-23;23;6;2013;25;6;174;504964.845
2013-06-24;24;6;2013;26;0;175;336625.964
2013-06-25;25;6;2013;26;1;176;305119.53
2013-06-26;26;6;2013;26;2;177;301847.249
2013-06-27;27;6;2013;26;3;178;266525.459
2013-06-28;28;6;2013;26;4;179;324210.972
2013-06-29;29;6;2013;26;5;180;509379.108
2013-06-30;30;6;2013;26;6;181;533481.693
2013-07-01;1;7;2013;27;0;182;441758.387999999
2013-07-02;2;7;2013;27;1;183;390958.384000001
2013-07-03;3;7;2013;27;2;184;374551.918000001
2013-07-04;4;7;2013;27;3;185;327020.179
2013-07-05;5;7;2013;27;4;186;351401.500000001
2013-07-06;6;7;2013;27;5;187;479514.494
2013-07-07;7;7;2013;27;6;188;500606.073
2013-07-08;8;7;2013;28;0;189;365452.995
2013-07-09;9;7;2013;28;1;190;317279.145
2013-07-10;10;7;2013;28;2;191;314134.886
2013-07-11;11;7;2013;28;3;192;281750.931
2013-07-12;12;7;2013;28;4;193;308786.438000001
2013-07-13;13;7;2013;28;5;194;432569.102000001
2013-07-14;14;7;2013;28;6;195;438722.418
2013-07-15;15;7;2013;29;0;196;348803.047
2013-07-16;16;7;2013;29;1;197;335516.229
2013-07-17;17;7;2013;29;2;198;324312.818
2013-07-18;18;7;2013;29;3;199;287073.874
2013-07-19;19;7;2013;29;4;200;313332.555
2013-07-20;20;7;2013;29;5;201;435497.731
2013-07-21;21;7;2013;29;6;202;437952.624
2013-07-22;22;7;2013;30;0;203;342802.299
2013-07-23;23;7;2013;30;1;204;316257.463
2013-07-24;24;7;2013;30;2;205;309243.79
2013-07-25;25;7;2013;30;3;206;298074.225
2013-07-26;26;7;2013;30;4;207;318745.693
2013-07-27;27;7;2013;30;5;208;423890.502000001
2013-07-28;28;7;2013;30;6;209;433358.652
2013-07-29;29;7;2013;31;0;210;331493.285
2013-07-30;30;7;2013;31;1;211;318553.99
2013-07-31;31;7;2013;31;2;212;357982.979000001
2013-08-01;1;8;2013;31;3;213;397555.318
2013-08-02;2;8;2013;31;4;214;393831.12
2013-08-03;3;8;2013;31;5;215;516956.846
2013-08-04;4;8;2013;31;6;216;514267.276
2013-08-05;5;8;2013;32;0;217;407033.811
2013-08-06;6;8;2013;32;1;218;357263.854
2013-08-07;7;8;2013;32;2;219;351302.132
2013-08-08;8;8;2013;32;3;220;310953.024000001
2013-08-09;9;8;2013;32;4;221;337521.668
2013-08-10;10;8;2013;32;5;222;434184.944
2013-08-11;11;8;2013;32;6;223;434720.323
2013-08-12;12;8;2013;33;0;224;349539.224
2013-08-13;13;8;2013;33;1;225;317103.331
2013-08-14;14;8;2013;33;2;226;324377.387
2013-08-15;15;8;2013;33;3;227;311043.173
2013-08-16;16;8;2013;33;4;228;364487.321999999
2013-08-17;17;8;2013;33;5;229;448835.311
2013-08-18;18;8;2013;33;6;230;464053.773
2013-08-19;19;8;2013;34;0;231;362084.527
2013-08-20;20;8;2013;34;1;232;343046.114
2013-08-21;21;8;2013;34;2;233;335724.644
2013-08-22;22;8;2013;34;3;234;306473.261
2013-08-23;23;8;2013;34;4;235;331906.369
2013-08-24;24;8;2013;34;5;236;420576.155
2013-08-25;25;8;2013;34;6;237;443694.094000001
2013-08-26;26;8;2013;35;0;238;347159.641
2013-08-27;27;8;2013;35;1;239;319688.219
2013-08-28;28;8;2013;35;2;240;319322.061
2013-08-29;29;8;2013;35;3;241;294518.686
2013-08-30;30;8;2013;35;4;242;354932.931
2013-08-31;31;8;2013;35;5;243;523631.381000001
2013-09-01;1;9;2013;35;6;244;640406.222
2013-09-02;2;9;2013;36;0;245;458792.961
2013-09-03;3;9;2013;36;1;246;397680.419999999
2013-09-04;4;9;2013;36;2;247;392565.486
2013-09-05;5;9;2013;36;3;248;330622.778999999
2013-09-06;6;9;2013;36;4;249;335442.248
2013-09-07;7;9;2013;36;5;250;518584.247
2013-09-08;8;9;2013;36;6;251;560852.004999999
2013-09-09;9;9;2013;37;0;252;377151.707000001
2013-09-10;10;9;2013;37;1;253;308074.465999999
2013-09-11;11;9;2013;37;2;254;323124.619
2013-09-12;12;9;2013;37;3;255;282855.731
2013-09-13;13;9;2013;37;4;256;319555.942
2013-09-14;14;9;2013;37;5;257;476364.005
2013-09-15;15;9;2013;37;6;258;532852.959
2013-09-16;16;9;2013;38;0;259;373229.840999999
2013-09-17;17;9;2013;38;1;260;327282.950000001
2013-09-18;18;9;2013;38;2;261;315687.719
2013-09-19;19;9;2013;38;3;262;279580.372
2013-09-20;20;9;2013;38;4;263;331846.904
2013-09-21;21;9;2013;38;5;264;468298.381
2013-09-22;22;9;2013;38;6;265;502068.701999999
2013-09-23;23;9;2013;39;0;266;356043.034
2013-09-24;24;9;2013;39;1;267;303333.393
2013-09-25;25;9;2013;39;2;268;312490.105
2013-09-26;26;9;2013;39;3;269;273057.88
2013-09-27;27;9;2013;39;4;270;320246.574
2013-09-28;28;9;2013;39;5;271;484903.689
2013-09-29;29;9;2013;39;6;272;522868.442000001
2013-09-30;30;9;2013;40;0;273;367068.450000001
2013-10-01;1;10;2013;40;1;274;436441.033999999
2013-10-02;2;10;2013;40;2;275;414455.655
2013-10-03;3;10;2013;40;3;276;348933.247
2013-10-04;4;10;2013;40;4;277;378109.978
2013-10-05;5;10;2013;40;5;278;540156.625
2013-10-06;6;10;2013;40;6;279;553031.424000001
2013-10-07;7;10;2013;41;0;280;373387.109
2013-10-08;8;10;2013;41;1;281;326726.724000001
2013-10-09;9;10;2013;41;2;282;322529.419
2013-10-10;10;10;2013;41;3;283;305047.098
2013-10-11;11;10;2013;41;4;284;402913.849
2013-10-12;12;10;2013;41;5;285;426379.691000001
2013-10-13;13;10;2013;41;6;286;481781.256
2013-10-14;14;10;2013;42;0;287;342694.721
2013-10-15;15;10;2013;42;1;288;305241.57
2013-10-16;16;10;2013;42;2;289;355696.964
2013-10-17;17;10;2013;42;3;290;312949.413
2013-10-18;18;10;2013;42;4;291;323327.873
2013-10-19;19;10;2013;42;5;292;488245.57
2013-10-20;20;10;2013;42;6;293;537713.509000001
2013-10-21;21;10;2013;43;0;294;348721.328
2013-10-22;22;10;2013;43;1;295;301641.785
2013-10-23;23;10;2013;43;2;296;323105.116
2013-10-24;24;10;2013;43;3;297;276059.080000001
2013-10-25;25;10;2013;43;4;298;317570.426
2013-10-26;26;10;2013;43;5;299;452902.363999999
2013-10-27;27;10;2013;43;6;300;512891.483
2013-10-28;28;10;2013;44;0;301;346941.914
2013-10-29;29;10;2013;44;1;302;302332.997
2013-10-30;30;10;2013;44;2;303;319494.705
2013-10-31;31;10;2013;44;3;304;298195.433
2013-11-01;1;11;2013;44;4;305;403637.233000001
2013-11-02;2;11;2013;44;5;306;540615.555
2013-11-03;3;11;2013;44;6;307;602796.556
2013-11-04;4;11;2013;45;0;308;424314.167
2013-11-05;5;11;2013;45;1;309;393322.183
2013-11-06;6;11;2013;45;2;310;386425.979
2013-11-07;7;11;2013;45;3;311;346293.34
2013-11-08;8;11;2013;45;4;312;358473.978000001
2013-11-09;9;11;2013;45;5;313;513850.323
2013-11-10;10;11;2013;45;6;314;587666.49
2013-11-11;11;11;2013;46;0;315;374087.89
2013-11-12;12;11;2013;46;1;316;373277.747999999
2013-11-13;13;11;2013;46;2;317;332279.257
2013-11-14;14;11;2013;46;3;318;284567.403
2013-11-15;15;11;2013;46;4;319;349360.304999999
2013-11-16;16;11;2013;46;5;320;524065.588
2013-11-17;17;11;2013;46;6;321;579209.229
2013-11-18;18;11;2013;47;0;322;391940.551999999
2013-11-19;19;11;2013;47;1;323;329455.271
2013-11-20;20;11;2013;47;2;324;354337.735
2013-11-21;21;11;2013;47;3;325;298047.047999999
2013-11-22;22;11;2013;47;4;326;340734.213000001
2013-11-23;23;11;2013;47;5;327;485544.299
2013-11-24;24;11;2013;47;6;328;550925.292999999
2013-11-25;25;11;2013;48;0;329;365965.509
2013-11-26;26;11;2013;48;1;330;323292.83
2013-11-27;27;11;2013;48;2;331;337083.286
2013-11-28;28;11;2013;48;3;332;305982.982
2013-11-29;29;11;2013;48;4;333;357000.403999999
2013-11-30;30;11;2013;48;5;334;541977.655999999
2013-12-01;1;12;2013;48;6;335;698217.129
2013-12-02;2;12;2013;49;0;336;495488.367
2013-12-03;3;12;2013;49;1;337;424438.047
2013-12-04;4;12;2013;49;2;338;424147.046
2013-12-05;5;12;2013;49;3;339;386406.804999999
2013-12-06;6;12;2013;49;4;340;432661.754999999
2013-12-07;7;12;2013;49;5;341;537181.319999999
2013-12-08;8;12;2013;49;6;342;588855.896000001
2013-12-09;9;12;2013;50;0;343;441554.313999999
2013-12-10;10;12;2013;50;1;344;414421.696
2013-12-11;11;12;2013;50;2;345;422957.199
2013-12-12;12;12;2013;50;3;346;384256.081
2013-12-13;13;12;2013;50;4;347;434657.013
2013-12-14;14;12;2013;50;5;348;554911.917
2013-12-15;15;12;2013;50;6;349;642015.776000001
2013-12-16;16;12;2013;51;0;350;516060.291
2013-12-17;17;12;2013;51;1;351;480470.717000001
2013-12-18;18;12;2013;51;2;352;527481.336999999
2013-12-19;19;12;2013;51;3;353;507461.038
2013-12-20;20;12;2013;51;4;354;544104.268000001
2013-12-21;21;12;2013;51;5;355;685673.075000001
2013-12-22;22;12;2013;51;6;356;696295.147
2013-12-23;23;12;2013;52;0;357;792865.284000001
2013-12-24;24;12;2013;52;1;358;620663.290999999
2013-12-26;26;12;2013;52;3;360;470731.162
2013-12-27;27;12;2013;52;4;361;479314.967999999
2013-12-28;28;12;2013;52;5;362;556952.306
2013-12-29;29;12;2013;52;6;363;499719.505
2013-12-30;30;12;2013;1;0;364;635134.736000002
2013-12-31;31;12;2013;1;1;365;507264.663
2014-01-01;1;1;2014;1;2;1;8602.0654
2014-01-02;2;1;2014;1;3;2;801011.226199999
2014-01-03;3;1;2014;1;4;3;680672.8456
2014-01-04;4;1;2014;1;5;4;936628.887
2014-01-05;5;1;2014;1;6;5;949618.790000001
2014-01-06;6;1;2014;2;0;6;602268.564000001
2014-01-07;7;1;2014;2;1;7;563450.5984
2014-01-08;8;1;2014;2;2;8;636176.852200001
2014-01-09;9;1;2014;2;3;9;496377.9335
2014-01-10;10;1;2014;2;4;10;543055.3286
2014-01-11;11;1;2014;2;5;11;787321.455999999
2014-01-12;12;1;2014;2;6;12;844633.599000001
2014-01-13;13;1;2014;3;0;13;555547.014999999
2014-01-14;14;1;2014;3;1;14;502643.1039
2014-01-15;15;1;2014;3;2;15;567067.468399999
2014-01-16;16;1;2014;3;3;16;502789.2143
2014-01-17;17;1;2014;3;4;17;542937.9157
2014-01-18;18;1;2014;3;5;18;786779.89
2014-01-19;19;1;2014;3;6;19;851735.334000001
2014-01-20;20;1;2014;4;0;20;575850.061999998
2014-01-21;21;1;2014;4;1;21;538817.207400002
2014-01-22;22;1;2014;4;2;22;553097.597299999
2014-01-23;23;1;2014;4;3;23;460789.039800002
2014-01-24;24;1;2014;4;4;24;526123.572400001
2014-01-25;25;1;2014;4;5;25;733880.978999999
2014-01-26;26;1;2014;4;6;26;814057.733000002
2014-01-27;27;1;2014;5;0;27;540798.834
2014-01-28;28;1;2014;5;1;28;481592.435800001
2014-01-29;29;1;2014;5;2;29;512853.989999999
2014-01-30;30;1;2014;5;3;30;453642.970800001
2014-01-31;31;1;2014;5;4;31;560816.192399999
2014-02-01;1;2;2014;5;5;32;648870.198999999
2014-02-02;2;2;2014;5;6;33;619805.536999999
2014-02-03;3;2;2014;6;0;34;461637.523
2014-02-04;4;2;2014;6;1;35;403189.587
2014-02-05;5;2;2014;6;2;36;399138.306
2014-02-06;6;2;2014;6;3;37;359139.1016
2014-02-07;7;2;2014;6;4;38;389471.5681
2014-02-08;8;2;2014;6;5;39;530128.059999999
2014-02-09;9;2;2014;6;6;40;520753.746999999
2014-02-10;10;2;2014;7;0;41;396622.737
2014-02-11;11;2;2014;7;1;42;358382.734
2014-02-12;12;2;2014;7;2;43;387757.394
2014-02-13;13;2;2014;7;3;44;347373.2986
2014-02-14;14;2;2014;7;4;45;361206.4071
2014-02-15;15;2;2014;7;5;46;538893.358
2014-02-16;16;2;2014;7;6;47;595300.235
2014-02-17;17;2;2014;8;0;48;412029.288
2014-02-18;18;2;2014;8;1;49;365331.248
2014-02-19;19;2;2014;8;2;50;360161.638999999
2014-02-20;20;2;2014;8;3;51;322450.920100001
2014-02-21;21;2;2014;8;4;52;369403.653900001
2014-02-22;22;2;2014;8;5;53;538206.083
2014-02-23;23;2;2014;8;6;54;487886.464
2014-02-24;24;2;2014;9;0;55;404224.188999999
2014-02-25;25;2;2014;9;1;56;351418.11
2014-02-26;26;2;2014;9;2;57;353604.266999999
2014-02-27;27;2;2014;9;3;58;330330.185300001
2014-02-28;28;2;2014;9;4;59;425624.7954
2014-03-01;1;3;2014;9;5;60;911360.257999998
2014-03-02;2;3;2014;9;6;61;667413.053
2014-03-03;3;3;2014;10;0;62;613973.032
2014-03-04;4;3;2014;10;1;63;748929.902199999
2014-03-05;5;3;2014;10;2;64;741756.417400001
2014-03-06;6;3;2014;10;3;65;614082.443900001
2014-03-07;7;3;2014;10;4;66;598242.341600002
2014-03-08;8;3;2014;10;5;67;753345.259
2014-03-09;9;3;2014;10;6;68;916117.650000005
2014-03-10;10;3;2014;11;0;69;587414.829
2014-03-11;11;3;2014;11;1;70;539365.375099999
2014-03-12;12;3;2014;11;2;71;575676.796200001
2014-03-13;13;3;2014;11;3;72;473298.0426
2014-03-14;14;3;2014;11;4;73;530515.255099999
2014-03-15;15;3;2014;11;5;74;731049.790000002
2014-03-16;16;3;2014;11;6;75;929808.493999997
2014-03-17;17;3;2014;12;0;76;612719.522000001
2014-03-18;18;3;2014;12;1;77;537427.8684
2014-03-19;19;3;2014;12;2;78;585974.6575
2014-03-20;20;3;2014;12;3;79;500897.1126
2014-03-21;21;3;2014;12;4;80;548811.4701
2014-03-22;22;3;2014;12;5;81;771704.933999999
2014-03-23;23;3;2014;12;6;82;838814.635999999
2014-03-24;24;3;2014;13;0;83;571762.045
2014-03-25;25;3;2014;13;1;84;539861.618399998
2014-03-26;26;3;2014;13;2;85;569680.543199999
2014-03-27;27;3;2014;13;3;86;468581.3983
2014-03-28;28;3;2014;13;4;87;538905.7822
2014-03-29;29;3;2014;13;5;88;822333.144000003
2014-03-30;30;3;2014;13;6;89;873958.840000004
2014-03-31;31;3;2014;14;0;90;651800.509000001
2014-04-01;1;4;2014;14;1;91;485078.887
2014-04-02;2;4;2014;14;2;92;463917.316
2014-04-03;3;4;2014;14;3;93;388867.961399999
2014-04-04;4;4;2014;14;4;94;422578.7449
2014-04-05;5;4;2014;14;5;95;617680.194000001
2014-04-06;6;4;2014;14;6;96;631888.251
2014-04-07;7;4;2014;15;0;97;426091.104
2014-04-08;8;4;2014;15;1;98;376663.272000001
2014-04-09;9;4;2014;15;2;99;375309.082
2014-04-10;10;4;2014;15;3;100;334052.757
2014-04-11;11;4;2014;15;4;101;379646.8459
2014-04-12;12;4;2014;15;5;102;529919.923000002
2014-04-13;13;4;2014;15;6;103;540190.282
2014-04-14;14;4;2014;16;0;104;381386.309
2014-04-15;15;4;2014;16;1;105;364689.055
2014-04-16;16;4;2014;16;2;106;411357.085
2014-04-17;17;4;2014;16;3;107;397464.8429
2014-04-18;18;4;2014;16;4;108;394392.1841
2014-04-19;19;4;2014;16;5;109;496904.749
2014-04-20;20;4;2014;16;6;110;520126.398
2014-04-21;21;4;2014;17;0;111;398677.397
2014-04-22;22;4;2014;17;1;112;370552.249
2014-04-23;23;4;2014;17;2;113;372232.595
2014-04-24;24;4;2014;17;3;114;320875.4779
2014-04-25;25;4;2014;17;4;115;357173.7085
2014-04-26;26;4;2014;17;5;116;497334.735
2014-04-27;27;4;2014;17;6;117;560508.421000001
2014-04-28;28;4;2014;18;0;118;362271.917000001
2014-04-29;29;4;2014;18;1;119;326338.348
2014-04-30;30;4;2014;18;2;120;357079.964999999
2014-05-01;1;5;2014;18;3;121;530380.848000001
2014-05-02;2;5;2014;18;4;122;443284.8914
2014-05-03;3;5;2014;18;5;123;610391.749000001
2014-05-04;4;5;2014;18;6;124;646164.863999999
2014-05-05;5;5;2014;19;0;125;427601.703999999
2014-05-06;6;5;2014;19;1;126;388945.89
2014-05-07;7;5;2014;19;2;127;391932.184
2014-05-08;8;5;2014;19;3;128;337483.7132
2014-05-09;9;5;2014;19;4;129;381333.1961
2014-05-10;10;5;2014;19;5;130;577012.027000001
2014-05-11;11;5;2014;19;6;131;454512.929
2014-05-12;12;5;2014;20;0;132;398251.889000001
2014-05-13;13;5;2014;20;1;133;360734.523000001
2014-05-14;14;5;2014;20;2;134;356373.807
2014-05-15;15;5;2014;20;3;135;332272.829699999
2014-05-16;16;5;2014;20;4;136;380822.7426
2014-05-17;17;5;2014;20;5;137;537873.964000001
2014-05-18;18;5;2014;20;6;138;634519.737
2014-05-19;19;5;2014;21;0;139;388814.745
2014-05-20;20;5;2014;21;1;140;354372.34
2014-05-21;21;5;2014;21;2;141;356898.483000001
2014-05-22;22;5;2014;21;3;142;310660.1426
2014-05-23;23;5;2014;21;4;143;349549.8927
2014-05-24;24;5;2014;21;5;144;516627.262000001
2014-05-25;25;5;2014;21;6;145;573412.21
2014-05-26;26;5;2014;22;0;146;373831.086
2014-05-27;27;5;2014;22;1;147;327642.143
2014-05-28;28;5;2014;22;2;148;338481.784
2014-05-29;29;5;2014;22;3;149;326624.577399999
2014-05-30;30;5;2014;22;4;150;375782.640000001
2014-05-31;31;5;2014;22;5;151;597192.467999998
2014-06-01;1;6;2014;22;6;152;742732.83
2014-06-02;2;6;2014;23;0;153;512725.772999999
2014-06-03;3;6;2014;23;1;154;443636.188
2014-06-04;4;6;2014;23;2;155;423283.495
2014-06-05;5;6;2014;23;3;156;359474.5138
2014-06-06;6;6;2014;23;4;157;391266.1253
2014-06-07;7;6;2014;23;5;158;557142.460999999
2014-06-08;8;6;2014;23;6;159;626026.957
2014-06-09;9;6;2014;24;0;160;415798.945999999
2014-06-10;10;6;2014;24;1;161;351689.423
2014-06-11;11;6;2014;24;2;162;373828.164
2014-06-12;12;6;2014;24;3;163;329408.0674
2014-06-13;13;6;2014;24;4;164;392308.3748
2014-06-14;14;6;2014;24;5;165;622072.988999999
2014-06-15;15;6;2014;24;6;166;441279.934
2014-06-16;16;6;2014;25;0;167;447450.239999999
2014-06-17;17;6;2014;25;1;168;380396.036
2014-06-18;18;6;2014;25;2;169;373403.664000001
2014-06-19;19;6;2014;25;3;170;332280.935
2014-06-20;20;6;2014;25;4;171;369206.7896
2014-06-21;21;6;2014;25;5;172;538613.855000001
2014-06-22;22;6;2014;25;6;173;591184.124
2014-06-23;23;6;2014;26;0;174;414929.636
2014-06-24;24;6;2014;26;1;175;340464.744999999
2014-06-25;25;6;2014;26;2;176;355342.398
2014-06-26;26;6;2014;26;3;177;315798.181
